corpus_name,docs,query,operator_type,rank_mode,backend,iterations,hits,avg_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,qps,alloc_bytes_per_query,allocs_per_query
wiki,5000,vote,TERM,bm25,mmap,3,431,1.1720,1.1790,1.1790,1.1130,1.2240,853.2423,454408,2367
wiki,5000,women,TERM,bm25,mmap,3,1056,2.2063,2.1250,2.1250,1.9510,2.5430,453.2407,602213,5609
wiki,5000,back,TFIDF_TOPK,bm25,mmap,3,1962,2.8070,2.8200,2.8200,2.7440,2.8570,356.2522,705704,10120
wiki,5000,english,TFIDF_TOPK,bm25,mmap,3,1978,3.6950,3.6560,3.6560,3.4640,3.9650,270.6360,873088,10467
wiki,5000,feminism AND women,TFIDF_TOPK,bm25,mmap,3,33,1.6603,1.6580,1.6580,1.6500,1.6730,602.2887,616496,5830
wiki,5000,further,TFIDF_TOPK,bm25,mmap,3,1976,2.8747,2.7280,2.7280,2.6870,3.2090,347.8664,687704,10125
wiki,5000,important,TFIDF_TOPK,bm25,mmap,3,1970,2.8980,2.8570,2.8570,2.7780,3.0590,345.0656,700712,10129
wiki,5000,less,TFIDF_TOPK,bm25,mmap,3,1993,3.1800,3.1960,3.1960,2.8500,3.4940,314.4654,696216,10239
wiki,5000,period,TFIDF_TOPK,bm25,mmap,3,1996,3.0283,3.0180,3.0180,3.0160,3.0510,330.2146,737032,10344
wiki,5000,university,TFIDF_TOPK,bm25,mmap,3,1983,3.5133,3.2990,3.2990,3.2960,3.9450,284.6300,823744,10429
wiki,5000,women AND rights,TFIDF_TOPK,bm25,mmap,3,409,3.1350,2.9590,2.9590,2.9190,3.5270,318.9793,906272,11207
wiki,5000,women AND science,TFIDF_TOPK,bm25,mmap,3,329,2.9837,3.0040,3.0040,2.9330,3.0140,335.1581,919229,12306
