docs,query,operator_type,memory_latency_ms,memory_latency_ci_low_ms,memory_latency_ci_high_ms,mmap_latency_ms,mmap_latency_ci_low_ms,mmap_latency_ci_high_ms,mmap_to_memory_ratio,memory_hits,mmap_hits,results_equal
25000,former,BM25_TOPK,0.0002,-0.0004,0.0008,3.9476,3.9204,3.9748,19738.0000,8498,8498,true
25000,further,BM25_TOPK,0.0006,-0.0011,0.0023,3.6758,3.6405,3.7111,6126.3333,8898,8898,true
25000,held,BM25_TOPK,0.0002,-0.0004,0.0008,3.8838,3.7878,3.9798,19419.0000,8255,8255,true
25000,important,BM25_TOPK,0.0004,-0.0007,0.0015,3.8334,3.7472,3.9196,9583.5000,8763,8763,true
25000,included,BM25_TOPK,0.0002,-0.0004,0.0008,3.8570,3.7863,3.9277,19285.0000,8736,8736,true
25000,just,BM25_TOPK,0.0004,-0.0007,0.0015,3.4558,3.4292,3.4824,8639.5000,8218,8218,true
25000,less,BM25_TOPK,0.0004,-0.0007,0.0015,3.7976,3.7372,3.8580,9494.0000,9238,9238,true
25000,making,BM25_TOPK,0.0002,-0.0004,0.0008,3.5106,3.4514,3.5698,17553.0000,8440,8440,true
25000,named,BM25_TOPK,0.0002,-0.0004,0.0008,3.7910,3.7440,3.8380,18955.0000,8970,8970,true
25000,near,BM25_TOPK,0.0002,-0.0004,0.0008,3.7378,3.6518,3.8238,18689.0000,8602,8602,true
25000,north,BM25_TOPK,0.0002,-0.0004,0.0008,4.9498,4.8755,5.0241,24749.0000,9111,9111,true
25000,original,BM25_TOPK,0.0004,-0.0007,0.0015,7.6156,2.2809,12.9503,19039.0000,8303,8303,true
25000,point,BM25_TOPK,0.0018,-0.0015,0.0051,10.3126,10.0540,10.5712,5729.2222,8724,8724,true
25000,power,BM25_TOPK,0.0034,-0.0041,0.0109,8.5470,1.9762,15.1178,2513.8235,8580,8580,true
25000,present,BM25_TOPK,0.0006,-0.0011,0.0023,3.6940,3.6279,3.7601,6156.6667,8372,8372,true
25000,public,BM25_TOPK,0.0008,-0.0014,0.0030,4.6556,4.5616,4.7496,5819.5000,8756,8756,true
25000,published,BM25_TOPK,0.0008,-0.0014,0.0030,4.1086,4.0537,4.1635,5135.7500,8200,8200,true
25000,rather,BM25_TOPK,0.0008,-0.0014,0.0030,3.6046,3.5664,3.6428,4505.7500,8183,8183,true
25000,related,BM25_TOPK,0.0006,-0.0011,0.0023,3.3856,3.3674,3.4038,5642.6667,7937,7937,true
25000,result,BM25_TOPK,0.0008,-0.0014,0.0030,3.7676,3.6557,3.8795,4709.5000,8738,8738,true
25000,series,BM25_TOPK,0.0008,-0.0014,0.0030,4.8278,4.7955,4.8601,6034.7500,8807,8807,true
